lick_id,label,bout_tag,harvest_tag,velocity_max,deceleration_min,decel_strength,electrode,spike_time,spike_type
8,0,0.0,0.0,306.0491010237862,-573.1661114951518,1200.192553033942,0,-0.02099999999973079,SS
8,0,0.0,0.0,306.0491010237862,-573.1661114951518,1200.192553033942,0,-0.009000000000014552,SS
9,0,0.0,0.0,328.96907769657315,-448.9077510699775,2860.600675627805,0,-0.0929999999998472,SS
9,0,0.0,0.0,328.96907769657315,-448.9077510699775,2860.600675627805,0,-0.06599999999980355,SS
9,0,0.0,0.0,328.96907769657315,-448.9077510699775,2860.600675627805,0,-0.05900000000019645,SS
9,0,0.0,0.0,328.96907769657315,-448.9077510699775,2860.600675627805,0,-0.032000000000152795,SS
9,0,0.0,0.0,328.96907769657315,-448.9077510699775,2860.600675627805,0,-0.0010000000002037268,SS
10,0,0.0,0.0,167.37792583157892,-291.6796074753159,978.8182797152532,0,-0.09900000000016007,SS
10,0,0.0,0.0,167.37792583157892,-291.6796074753159,978.8182797152532,0,-0.09100000000034925,SS
10,0,0.0,0.0,167.37792583157892,-291.6796074753159,978.8182797152532,0,-0.08299999999962893,SS
10,0,0.0,0.0,167.37792583157892,-291.6796074753159,978.8182797152532,0,-0.08299999999962893,SS
10,0,0.0,0.0,167.37792583157892,-291.6796074753159,978.8182797152532,0,-0.07300000000032014,SS
10,0,0.0,0.0,167.37792583157892,-291.6796074753159,978.8182797152532,0,-0.06400000000030559,SS
11,0,0.0,2.0,166.51994602085625,-427.06852544880877,616.7405408190664,0,-0.09699999999975262,SS
11,0,0.0,2.0,166.51994602085625,-427.06852544880877,616.7405408190664,0,-0.08899999999994179,SS
11,0,0.0,2.0,166.51994602085625,-427.06852544880877,616.7405408190664,0,-0.07799999999951979,SS
11,0,0.0,2.0,166.51994602085625,-427.06852544880877,616.7405408190664,0,-0.06799999999930151,SS
12,1,2.0,0.0,182.16680718556717,-347.22611959556116,1160.298134938789,0,-0.09900000000016007,SS
12,1,2.0,0.0,182.16680718556717,-347.22611959556116,1160.298134938789,0,-0.09000000000014552,SS
12,1,2.0,0.0,182.16680718556717,-347.22611959556116,1160.298134938789,0,-0.07999999999992724,SS
12,1,2.0,0.0,182.16680718556717,-347.22611959556116,1160.298134938789,0,-0.07000000000061846,SS
12,1,2.0,0.0,182.16680718556717,-347.22611959556116,1160.298134938789,0,-0.06000000000040018,SS
12,1,2.0,0.0,182.16680718556717,-347.22611959556116,1160.298134938789,0,-0.04700000000048021,SS
